panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	MP_tpm	HP_tpm	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	Bs_As log2ratio
conserved (2189)	ENSRNA049440843	4.9	7.5	3.8	9.7	22.7	2.4	8.6	9.7	0.021	0.045	0.023	0.023	0.000	0.000	conserved	0.3678383966
conserved (2189)	ENSRNA049444035	4.5	2.5	1.8	2.3	11.4	5.2	2.4	2.5	0.019	0.000	0.000	0.040	0.040	0.040	conserved	-0.1636032657
conserved (2189)	ENSRNA049447389	12.3	11.9	5.7	13.5	54.5	22.2	12.7	13.5	0.031	0.028	0.015	0.048	0.045	0.033	conserved	0.1800776676
conserved (2189)	ENSRNA049449974	5.5	42.9	33.1	47.7	6.0	3.5	45.3	47.7	0.009	0.000	0.005	0.005	0.000	0.002	conserved	0.1516214602
conserved (2189)	ENSRNA049450181	58.9	30.0	31.0	31.0	317.8	78.4	30.5	31.0	0.011	0.011	0.012	0.015	0.019	0.010	conserved	0.04675917697
conserved (2189)	ENSRNA049454571	17.9	7.8	59.2	24.2	171.8	1.6	16.0	24.2	0.036	0.016	0.007	0.012	0.006	0.000	conserved	1.62567977
conserved (2189)	ENSRNA049459156	18.3	21.8	5.8	8.2	26.3	16.9	15.0	21.8	0.029	0.077	0.065	0.053	0.084	0.059	conserved	-1.407655657
conserved (2189)	ENSRNA049460422	1.2	260.8	14.9	532.0	34.7	324.3	396.4	532.0	0.078	0.020	0.073	0.261	0.328	0.309	conserved	1.028244836
conserved (2189)	ENSRNA049461634	1.3	6.4	3.3	4.9	2.4	4.1	5.7	6.4	0.042	0.080	0.088	0.173	0.239	0.203	conserved	-0.3907108416
conserved (2189)	ENSRNA049461783	7.8	5.9	62.5	37.9	29.9	2.2	21.9	37.9	0.072	0.027	0.097	0.233	0.136	0.135	conserved	2.671094563
conserved (2189)	ENSRNA049463761	48.6	54.0	63.1	80.2	67.6	23.3	67.1	80.2	0.066	0.061	0.050	0.016	0.038	0.020	conserved	0.5694336153
conserved (2189)	ENSRNA049463813	16.8	10.4	166.1	95.3	319.6	2.6	52.8	95.3	0.033	0.015	0.041	0.053	0.017	0.014	conserved	3.195384508
conserved (2189)	ENSRNA049463828	28.0	24.1	125.6	96.8	274.1	4.8	60.4	96.8	0.066	0.030	0.050	0.107	0.058	0.065	conserved	2.007103593
conserved (2189)	ENSRNA049463865	4.5	5.1	36.1	71.1	37.1	2.0	38.1	71.1	0.049	0.035	0.036	0.244	0.256	0.255	conserved	3.788600569
conserved (2189)	ENSRNA049466676	11.8	12.5	58.0	123.4	37.7	27.4	67.9	123.4	0.027	0.012	0.074	0.068	0.017	0.026	conserved	3.306269944
conserved (2189)	ENSRNA049470937	104.0	11.9	87.3	18.8	192.7	21.8	15.4	18.8	0.095	0.028	0.067	0.035	0.052	0.113	conserved	0.6549409512
conserved (2189)	ENSRNA049472011	28.7	10.2	35.1	19.8	92.8	8.6	15.0	19.8	0.047	0.092	0.051	0.127	0.151	0.249	conserved	0.9604347925
conserved (2189)	ENSRNA049475437	18.8	9.3	20.7	25.7	7.8	4.1	17.5	25.7	0.009	0.006	0.019	0.007	0.019	0.010	conserved	1.475619827
conserved (2189)	ENSRNA049475525	6.5	7.1	10.1	7.5	7.8	3.1	7.3	7.5	0.041	0.035	0.045	0.082	0.037	0.056	conserved	0.09535793994
conserved (2189)	ENSRNA049475572	3.5	2.6	2.8	3.0	1.8	1.3	2.8	3.0	0.024	0.053	0.020	0.041	0.053	0.031	conserved	0.1875596789
conserved (2189)	ENSRNA049476127	18.8	15.6	27.9	23.3	34.1	6.9	19.4	23.3	0.044	0.044	0.041	0.093	0.104	0.109	conserved	0.582408272
conserved (2189)	ENSRNA049476258	12.5	8.5	7.8	9.7	5.4	4.4	9.1	9.7	0.045	0.029	0.049	0.051	0.046	0.013	conserved	0.1900237504
conserved (2189)	ENSRNA049478106	10.4	1.2	5.0	11.5	2.4	2.1	6.3	11.5	0.008	0.018	0.000	0.000	0.000	0.000	conserved	3.250836517
conserved (2189)	ENSRNA049478109	11.8	5.6	7.0	22.7	6.6	5.6	14.1	22.7	0.011	0.000	0.011	0.011	0.000	0.000	conserved	2.01869778
conserved (2189)	ENSRNA049478119	3.8	1.8	2.5	8.2	1.8	2.0	5.0	8.2	0.000	0.039	0.039	0.000	0.039	0.022	conserved	2.225114467
conserved (2189)	ENSRNA049478136	19.2	5.5	10.9	23.5	4.2	6.4	14.5	23.5	0.061	0.091	0.060	0.152	0.105	0.115	conserved	2.105580576
conserved (2189)	ENSRNA049478203	12.7	4.5	6.8	19.1	9.0	4.8	11.8	19.1	0.046	0.019	0.024	0.018	0.042	0.000	conserved	2.074860283
conserved (2189)	ENSRNA049478218	887.5	590.5	950.0	2837.6	991.0	1068.3	1714.1	2837.6	0.043	0.038	0.027	0.066	0.093	0.093	conserved	2.264544994
conserved (2189)	ENSRNA049478234	4.9	9.7	3.0	6.5	1.8	3.4	8.1	9.7	0.016	0.051	0.026	0.066	0.074	0.100	conserved	-0.5797113187
conserved (2189)	ENSRNA049478247	1.3	4.0	2.8	1.9	0.0	1.5	3.0	4.0	0.040	0.026	0.074	0.375	0.375	0.375	conserved	-1.078057624
conserved (2189)	ENSRNA049478275	976.2	434.6	400.7	602.4	281.3	788.6	518.5	602.4	0.077	0.037	0.055	0.032	0.078	0.068	conserved	0.4711660887
conserved (2189)	ENSRNA049478320	7.9	17.2	15.2	36.4	34.1	9.7	26.8	36.4	0.095	0.051	0.040	0.073	0.075	0.082	conserved	1.079836873
conserved (2189)	ENSRNA049478350	411.2	194.5	193.3	277.2	139.4	354.1	235.9	277.2	0.064	0.082	0.053	0.048	0.099	0.104	conserved	0.5111683642
conserved (2189)	ENSRNA049478524	370.4	493.9	418.8	1277.4	220.2	321.8	885.6	1277.4	0.024	0.027	0.015	0.040	0.033	0.040	conserved	1.370953055
conserved (2189)	ENSRNA049478548	245.7	181.2	206.0	172.9	277.1	409.7	177.0	181.2	0.060	0.076	0.017	0.108	0.110	0.109	conserved	-0.06808306787
conserved (2189)	ENSRNA049478615	103.5	155.6	147.9	169.5	140.0	191.5	162.6	169.5	0.017	0.045	0.038	0.060	0.053	0.069	conserved	0.1234740259
conserved (2189)	ENSRNA049478622	3.5	4.6	2.8	2.9	1.2	2.8	3.7	4.6	0.024	0.077	0.048	0.024	0.048	0.000	conserved	-0.6656976374
conserved (2189)	ENSRNA049478649	30.4	16.7	24.0	68.5	19.2	23.4	42.6	68.5	0.051	0.036	0.015	0.023	0.020	0.030	conserved	2.038989654
conserved (2189)	ENSRNA049478662	24.6	15.1	26.1	64.3	18.6	15.1	39.7	64.3	0.079	0.023	0.009	0.013	0.015	0.012	conserved	2.088596852
conserved (2189)	ENSRNA049478748	3.6	3.6	6.0	8.4	5.4	2.1	6.0	8.4	0.000	0.024	0.000	0.083	0.083	0.083	conserved	1.234047595
conserved (2189)	ENSRNA049478865	4.5	4.4	13.1	18.8	0.6	3.6	11.6	18.8	0.082	0.034	0.083	0.286	0.361	0.352	conserved	2.102135644
conserved (2189)	ENSRNA049479065	268.1	356.0	296.0	627.0	148.4	186.2	491.5	627.0	0.079	0.095	0.100	0.173	0.146	0.141	conserved	0.816477073
conserved (2189)	ENSRNA049479084	12.4	11.2	16.5	35.3	13.8	9.2	23.3	35.3	0.022	0.003	0.023	0.009	0.014	0.014	conserved	1.652820338
conserved (2189)	ENSRNA049479090	5.1	4.6	7.5	13.2	7.2	5.9	8.9	13.2	0.037	0.030	0.013	0.013	0.000	0.000	conserved	1.512744435
conserved (2189)	ENSRNA049479107	4.8	4.5	2.1	3.8	0.6	4.9	4.2	4.5	0.014	0.045	0.045	0.115	0.070	0.115	conserved	-0.2329701552
conserved (2189)	ENSRNA049479365	6.8	9.6	22.4	15.2	0.0	7.8	12.4	15.2	0.052	0.044	0.063	0.073	0.111	0.081	conserved	0.6699509549
conserved (2189)	ENSRNA049479581	5.2	12.5	8.4	17.7	11.4	8.8	15.1	17.7	0.006	0.000	0.006	0.054	0.060	0.060	conserved	0.5010285458
conserved (2189)	ENSRNA049479622	142.4	133.8	162.3	124.2	229.2	407.1	129.0	133.8	0.078	0.046	0.076	0.083	0.159	0.100	conserved	-0.1064339103
conserved (2189)	ZeamMp086	112.7	52.7	108.5	64.5	96.4	23.1	58.6	64.5	0.006	0.008	0.010	0.036	0.039	0.047	conserved	0.291130838
conserved (2189)	Zm00001d000004	27.6	26.7	27.1	45.3	12.0	21.3	36.0	45.3	0.045	0.056	0.084	0.099	0.101	0.059	conserved	0.7647372641
conserved (2189)	Zm00001d000039	20.5	25.4	14.1	12.8	25.1	2.8	19.1	25.4	0.086	0.068	0.092	0.213	0.194	0.238	conserved	-0.9831371666
conserved (2189)	Zm00001d000074	15.2	4.8	13.6	5.2	34.1	2.3	5.0	5.2	0.060	0.057	0.038	0.233	0.242	0.250	conserved	0.1053920611
conserved (2189)	Zm00001d000112	12.4	3.4	33.8	7.8	9.0	1.4	5.6	7.8	0.098	0.091	0.041	0.124	0.119	0.119	conserved	1.19471542
conserved (2189)	Zm00001d000120	19.2	13.3	20.0	17.0	28.1	10.6	15.2	17.0	0.047	0.076	0.039	0.100	0.073	0.096	conserved	0.349302323
conserved (2189)	Zm00001d000135	37.8	27.1	34.6	29.4	18.0	13.5	28.3	29.4	0.053	0.039	0.092	0.170	0.226	0.187	conserved	0.1208343408
conserved (2189)	Zm00001d000175	24.9	6.4	17.1	8.8	34.1	4.7	7.6	8.8	0.088	0.093	0.067	0.099	0.156	0.145	conserved	0.4705933752
conserved (2189)	Zm00001d000178	117.6	29.0	46.0	44.0	50.3	24.7	36.5	44.0	0.060	0.052	0.090	0.094	0.089	0.096	conserved	0.6003336062
conserved (2189)	Zm00001d000240	26.4	23.8	26.3	17.7	20.3	13.8	20.7	23.8	0.064	0.049	0.056	0.054	0.073	0.056	conserved	-0.4242093548
conserved (2189)	Zm00001d000293	4.5	4.9	11.1	9.8	0.0	3.2	7.4	9.8	0.016	0.033	0.022	0.043	0.021	0.041	conserved	0.9989179441
conserved (2189)	Zm00001d000294	8.2	6.8	8.1	18.5	2.4	5.1	12.7	18.5	0.065	0.058	0.092	0.104	0.063	0.059	conserved	1.435549742
conserved (2189)	Zm00001d000302	118.7	138.1	95.2	137.9	137.6	76.7	138.0	138.1	0.055	0.074	0.075	0.071	0.109	0.073	conserved	-0.002153262442
conserved (2189)	Zm00001d000401	9.3	19.5	8.5	21.8	28.7	30.3	20.6	21.8	0.069	0.078	0.097	0.056	0.139	0.100	conserved	0.1620147331
